City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
358,Wau,100,SS,1586727380,51,7.7,28.0,80.08,3.76
359,Alto Piquiri,17,BR,1586727381,64,-24.03,-53.44,73.76,2.68
360,Hofn,87,IS,1586726989,87,64.25,-15.21,34.5,14.67
361,Wencheng,0,CN,1586727381,49,33.06,113.8,48.04,3.98
362,Uauá,81,BR,1586727381,64,-9.84,-39.48,79.29,2.51
363,Hambantota,0,LK,1586727381,84,6.12,81.12,80.47,10.56
364,Nelson Bay,59,AU,1586727147,93,-32.72,152.15,54.0,5.21
365,Walvis Bay,0,NA,1586727381,68,-22.96,14.51,66.2,3.36
366,Husavik,16,IS,1586727348,60,66.04,-17.34,42.8,28.86
367,Kaeo,6,NZ,1586727339,89,-35.1,173.78,66.0,5.99
368,‘Ewa Beach,40,US,1586727323,47,21.32,-158.01,80.6,5.82
369,Isla Vista,90,US,1586727293,77,34.41,-119.86,63.0,5.82
